Date,Open,High,Low,Close
9/18/19,1.3741,1.377,1.3722,1.376
9/19/19,1.3762,1.3796,1.3754,1.3783
9/20/19,1.3786,1.3793,1.3738,1.3769
9/23/19,1.377,1.3793,1.3754,1.3775
9/24/19,1.3777,1.3787,1.3748,1.3754
9/25/19,1.376,1.3798,1.375,1.3786
9/26/19,1.3788,1.3826,1.3779,1.3819
9/27/19,1.3822,1.3833,1.3796,1.3811
9/30/19,1.3816,1.3837,1.3806,1.3818
10/1/19,1.3819,1.388,1.3812,1.3849
10/2/19,1.3851,1.3869,1.3838,1.3839
10/3/19,1.3842,1.3849,1.3783,1.3807
10/4/19,1.3809,1.3812,1.3775,1.3783
10/7/19,1.3786,1.3827,1.3786,1.3808
10/8/19,1.3813,1.38271,1.3782,1.3809
10/9/19,1.3826,1.383,1.379,1.3805
10/10/19,1.3812,1.38168,1.3751,1.38156
10/11/19,1.3748,1.37538,1.3709,1.375
10/14/19,1.37269,1.37269,1.3677,1.3718
10/15/19,1.3691,1.37161,1.3678,1.36896
10/16/19,1.3705,1.37314,1.3702,1.37113
10/17/19,1.37069,1.37069,1.3633,1.37073
10/18/19,1.36494,1.36595,1.3634,1.36471
10/21/19,1.3634,1.36389,1.3599,1.3635
10/22/19,1.36113,1.36269,1.3597,1.36118
10/23/19,1.3628,1.36439,1.3622,1.3624
10/24/19,1.36221,1.36397,1.3605,1.3618
10/25/19,1.36364,1.36406,1.362,1.36364
10/28/19,1.3628,1.36337,1.3613,1.36314
10/29/19,1.36228,1.36374,1.3612,1.36218
10/30/19,1.3619,1.36343,1.3615,1.362
10/31/19,1.36121,1.36255,1.3595,1.3607
11/1/19,1.36057,1.36107,1.3561,1.36061
11/4/19,1.3566,1.35802,1.3556,1.3567
11/5/19,1.35834,1.3593,1.3554,1.3578
11/6/19,1.35852,1.3604,1.3571,1.35822
11/7/19,1.3599,1.36065,1.3557,1.36035
11/8/19,1.35731,1.36046,1.3565,1.35733
11/11/19,1.35978,1.36189,1.3592,1.35991
11/12/19,1.36039,1.36246,1.3593,1.36033
11/13/19,1.36246,1.36318,1.3614,1.36243
11/14/19,1.36235,1.36349,1.3617,1.36219
11/15/19,1.36166,1.36227,1.3596,1.36166
11/18/19,1.36016,1.36145,1.359,1.36012
11/19/19,1.36014,1.36144,1.3595,1.36
11/20/19,1.36128,1.3619,1.3602,1.36124
11/21/19,1.36195,1.36277,1.3606,1.36201
11/22/19,1.36285,1.36446,1.36112,1.3624
11/25/19,1.3637,1.36564,1.3631,1.36419
11/26/19,1.3644,1.36668,1.364,1.36481
11/27/19,1.36452,1.36644,1.364,1.3645
11/28/19,1.3652,1.36639,1.36498,1.36579
11/29/19,1.36557,1.36758,1.3651,1.36556
12/2/19,1.3671,1.36901,1.3649,1.36739
12/3/19,1.36667,1.36674,1.3633,1.3663
12/4/19,1.36373,1.36503,1.3616,1.3635
12/5/19,1.36259,1.36326,1.3605,1.3623
12/6/19,1.36044,1.36139,1.3589,1.36052
12/9/19,1.36081,1.36138,1.3586,1.36054
12/10/19,1.3599,1.36025,1.358,1.3594
12/11/19,1.35828,1.36008,1.3576,1.3583
12/12/19,1.3567,1.35762,1.3547,1.3566
12/13/19,1.35199,1.35576,1.3509,1.3515
12/16/19,1.35472,1.35663,1.35341,1.35463
12/17/19,1.35527,1.35614,1.3535,1.3553
12/18/19,1.3549,1.35697,1.3543,1.35529
12/19/19,1.35508,1.35598,1.354,1.3548
12/20/19,1.35473,1.35626,1.3541,1.3543
12/23/19,1.35471,1.3567,1.35451,1.35481
12/24/19,1.35554,1.3562,1.3544,1.35553
12/25/19,1.35494,1.35535,1.3542,1.355
12/26/19,1.35476,1.35496,1.35304,1.35472
12/27/19,1.35361,1.3542,1.3514,1.3534
12/30/19,1.35208,1.35213,1.3477,1.35213
12/31/19,1.34821,1.34829,1.344,1.34818
1/1/20,1.3345,1.34406,1.334,1.3345
1/2/20,1.34506,1.34824,1.3442,1.34519
1/3/20,1.3473,1.35078,1.3464,1.3469
1/6/20,1.34974,1.35109,1.3483,1.34978
1/7/20,1.34915,1.35142,1.3474,1.34917
1/8/20,1.35132,1.35245,1.3491,1.35131
1/9/20,1.3499,1.35231,1.3487,1.3499
1/10/20,1.35106,1.35143,1.3478,1.35105
1/13/20,1.34837,1.34852,1.34548,1.3483
1/14/20,1.3467,1.34825,1.3452,1.3464
1/15/20,1.348,1.34818,1.3455,1.34783
1/16/20,1.34596,1.34711,1.3446,1.3456
1/17/20,1.34658,1.34778,1.3449,1.3466
1/20/20,1.34724,1.34815,1.3457,1.34737
1/21/20,1.3462,1.35029,1.3461,1.3467
1/22/20,1.34988,1.35098,1.3479,1.34989
1/23/20,1.34868,1.35262,1.3478,1.3482
1/24/20,1.35104,1.35194,1.349,1.3508
1/27/20,1.35411,1.35756,1.3526,1.35436
1/28/20,1.3572,1.35969,1.3563,1.35753
1/29/20,1.3575,1.36191,1.35634,1.3571
1/30/20,1.36073,1.36379,1.3605,1.3601
1/31/20,1.36249,1.36705,1.3604,1.36235
2/3/20,1.36418,1.36899,1.36418,1.36416
2/4/20,1.37026,1.37277,1.3694,1.36983
2/5/20,1.37145,1.38229,1.37056,1.371
2/6/20,1.3803,1.38665,1.3802,1.3803
2/7/20,1.38572,1.39153,1.3847,1.38609
2/10/20,1.39165,1.39219,1.3873,1.3913
2/11/20,1.38895,1.38953,1.3854,1.38885
2/12/20,1.3858,1.38745,1.3844,1.38604
2/13/20,1.38841,1.38944,1.3866,1.38811
2/14/20,1.39022,1.39222,1.3883,1.39
2/17/20,1.39053,1.39166,1.3877,1.39033
2/18/20,1.38937,1.39324,1.3892,1.3887
2/19/20,1.3914,1.3947,1.3899,1.3914
2/20/20,1.39435,1.40332,1.3934,1.39427
2/21/20,1.40145,1.40252,1.3963,1.40146
2/24/20,1.4019,1.4041,1.3979,1.40178
