Date,Open,High,Low,Close
9/18/19,7.0896,7.0925,7.0837,7.0849
9/19/19,7.086,7.1056,7.086,7.0959
9/20/19,7.0966,7.0981,7.0816,7.0909
9/23/19,7.0916,7.129,7.0916,7.1168
9/24/19,7.118,7.1224,7.1023,7.1138
9/25/19,7.1164,7.1353,7.108,7.1313
9/26/19,7.1273,7.1388,7.1227,7.13
9/27/19,7.1326,7.1386,7.1191,7.1218
9/30/19,7.1315,7.1484,7.1179,7.1477
10/1/19,7.1484,7.1484,7.1484,7.1484
10/2/19,7.1484,7.1484,7.1484,7.1484
10/3/19,7.1484,7.1484,7.1484,7.1484
10/4/19,7.1484,7.1484,7.1484,7.1484
10/7/19,7.1484,7.1484,7.1484,7.1484
10/8/19,7.1475,7.1523,7.1148,7.1474
10/9/19,7.1444,7.1529,7.1205,7.1316
10/10/19,7.1314,7.1314,7.0935,7.1314
10/11/19,7.1154,7.1155,7.0837,7.1155
10/14/19,7.087,7.0874,7.0498,7.0872
10/15/19,7.0666,7.0823,7.0584,7.0666
10/16/19,7.0718,7.1019,7.0718,7.0808
10/17/19,7.0926,7.0998,7.0645,7.0927
10/18/19,7.0674,7.0866,7.0633,7.0764
10/21/19,7.0808,7.0829,7.0631,7.0807
10/22/19,7.0663,7.0819,7.0658,7.0663
10/23/19,7.0761,7.0851,7.0605,7.0762
10/24/19,7.0556,7.0721,7.0524,7.0646
10/25/19,7.068,7.0748,7.0583,7.0681
10/28/19,7.0647,7.068,7.0552,7.0647
10/29/19,7.0669,7.0669,7.0472,7.0669
10/30/19,7.0649,7.0658,7.0449,7.0649
10/31/19,7.0544,7.0551,7.0295,7.0544
11/1/19,7.0382,7.045,7.0289,7.0382
11/4/19,7.0364,7.0365,7.016,7.0364
11/5/19,7.0294,7.0294,6.9801,7.0294
11/6/19,7.0088,7.0141,6.9826,7.0088
11/7/19,6.9972,7.0191,6.963,6.9972
11/8/19,6.9703,7.0006,6.9682,6.9954
11/11/19,6.9948,7.0105,6.9861,6.995
11/12/19,7.0096,7.0096,6.9938,7.0096
11/13/19,7.0068,7.0226,7.0068,7.0068
11/14/19,7.0226,7.0228,7.0118,7.0226
11/15/19,7.0198,7.0273,6.9933,7.0198
11/18/19,7.0074,7.0272,7.0022,7.0073
11/19/19,7.025,7.0277,7.0156,7.025
11/20/19,7.0268,7.0369,7.0196,7.0268
11/21/19,7.035,7.0437,7.0183,7.035
11/22/19,7.0282,7.0412,7.0244,7.0282
11/25/19,7.0383,7.0386,7.0236,7.0383
11/26/19,7.0355,7.0406,7.0226,7.0355
11/27/19,7.0325,7.0326,7.0143,7.0325
11/28/19,7.0279,7.0346,7.0179,7.0279
11/29/19,7.0344,7.0344,7.0181,7.0344
12/2/19,7.0315,7.0435,7.0259,7.0315
12/3/19,7.0383,7.0614,7.035,7.0383
12/4/19,7.0602,7.0727,7.0452,7.0602
12/5/19,7.0489,7.0557,7.0387,7.0489
12/6/19,7.0438,7.0439,7.0216,7.0438
12/9/19,7.0343,7.0423,7.0299,7.0343
12/10/19,7.0382,7.0402,7.0283,7.0382
12/11/19,7.0333,7.0397,7.0284,7.0333
