Date,Open,High,Low,Close
9/18/19,71.505,71.52,71.145,71.13
9/19/19,71.345,71.388,71.058,71.37
9/20/19,71.205,71.205,70.675,71.06
9/23/19,71.035,71.05,70.779,70.786
9/24/19,70.801,71.052,70.723,70.954
9/25/19,70.976,71.144,70.943,70.972
9/26/19,71.026,71.026,70.834,70.948
9/27/19,70.951,70.977,70.364,70.492
9/30/19,70.425,70.885,70.356,70.64
10/1/19,70.66,71.173,70.66,71.1
10/2/19,71.11,71.375,71.102,71.14
10/3/19,71.225,71.375,70.857,71.02
10/4/19,70.817,71.044,70.765,70.82
10/7/19,70.965,71.1,70.913,70.967
10/8/19,70.968002,71.360001,70.828003,71.360001
10/9/19,71.185,71.23,70.942,71.11
10/10/19,71.112999,71.410004,70.882004,71.410004
10/11/19,71.199997,71.199997,70.759003,70.980003
10/14/19,70.917,71.249496,70.731499,70.914001
10/15/19,71.228996,71.583,71.124001,71.452499
10/16/19,71.760002,71.760002,71.364502,71.760002
10/17/19,71.354401,71.620003,71.07,71.620003
10/18/19,71.123001,71.422501,70.966003,71.422501
10/21/19,71.083,71.346001,70.745499,71.029999
10/22/19,71.105003,71.105003,70.7575,71.105003
10/23/19,71.074997,71.175003,70.708,71.074997
10/24/19,70.932503,71.072998,70.699501,70.714996
10/25/19,70.958,71.190002,70.751503,71.190002
10/28/19,70.830002,70.877502,70.6726,70.830002
10/29/19,70.7351,70.898003,70.68,70.735001
10/30/19,70.8843,71.050003,70.728996,70.884598
10/31/19,70.989998,71.139,70.676498,70.989998
11/1/19,71.272499,71.272499,70.538002,70.970001
11/4/19,70.5121,70.815002,70.471497,70.5121
11/5/19,71,71,70.614304,71
11/6/19,70.894997,71.097,70.649002,70.894997
11/7/19,71.2575,71.2575,70.874802,71
11/8/19,71.307999,71.470001,71.268501,71.376503
11/11/19,71.349998,71.613998,71.233002,71.376503
11/12/19,71.747498,71.778999,71.494301,71.573997
11/13/19,71.780098,72.191498,71.637001,71.779999
11/14/19,72.141602,72.360001,71.827003,72.141502
11/15/19,71.955597,72.172501,71.586502,71.955803
11/18/19,71.625,71.939003,71.572998,71.705803
11/19/19,71.934998,72.169998,71.617302,71.935097
11/20/19,72.07,72.07,71.653999,71.850998
11/21/19,71.980003,71.980003,71.693802,71.768204
11/22/19,71.740097,71.942497,71.639,71.740501
11/25/19,71.7826,71.864998,71.611504,71.7826
11/26/19,71.679398,71.809998,71.421997,71.679497
11/27/19,71.429497,71.580002,71.219803,71.428398
11/28/19,71.227798,71.75,71.227699,71.228104
11/29/19,71.547401,71.875504,71.498001,71.547401
12/2/19,71.738998,71.808998,71.573997,71.723
12/3/19,71.625099,71.808998,71.499001,71.625
12/4/19,71.730698,71.959999,71.469002,71.959999
12/5/19,71.480003,71.639999,71.1791,71.480103
12/6/19,71.229897,71.431999,71.195,71.385002
12/9/19,71.272903,71.275002,71.008499,71.286797
12/10/19,70.960098,71.150002,70.780998,70.960197
12/11/19,70.822304,71.010002,70.653,71.010002
12/12/19,70.729202,70.93,70.516998,70.729301
12/13/19,70.709999,70.853996,70.471001,70.559898
12/16/19,70.679497,71.028,70.666496,70.689003
12/17/19,70.920502,71.091003,70.848,70.920502
12/18/19,71.025597,71.264503,70.871002,71.214996
12/19/19,70.989998,71.364998,70.872002,70.989899
12/20/19,71.222702,71.425003,71.033997,71.222702
12/23/19,71.050003,71.290497,71.033997,71.024002
12/24/19,71.209999,71.410004,71.142303,71.210701
12/25/19,71.459999,71.459999,71.1875,71.459999
12/26/19,71.335999,71.540001,71.2005,71.540001
12/27/19,71.459999,71.561996,71.190002,71.300301
12/30/19,71.410004,71.5,71.252998,71.313004
12/31/19,71.310997,71.537498,71.134804,71.310997
1/1/20,71.275803,71.43,71.029999,71.275803
1/2/20,71.025002,71.405502,71.025002,71.025002
1/3/20,71.415001,71.995003,71.229797,71.415001
1/6/20,71.720001,72.190002,71.703003,71.731003
1/7/20,72.019997,72.0326,71.668999,71.787003
1/8/20,72.160004,72.5,71.344498,72.160004
1/9/20,71.629997,71.629997,71.101997,71.411903
1/10/20,71.392502,71.392502,70.829002,71.194298
1/13/20,70.953003,70.989998,70.648003,70.953003
1/14/20,70.718903,70.952499,70.606499,70.718903
1/15/20,71.105003,71.105003,70.660004,70.8451
1/16/20,70.932503,71.099998,70.661499,70.718002
1/17/20,71.162498,71.162498,70.835999,70.945602
1/20/20,71.033699,71.25,70.720001,71.034698
1/21/20,71.2425,71.370003,71.029999,71.030998
1/22/20,71.204002,71.415001,71.066498,71.169998
1/23/20,71.07,71.452499,71.07,71.078102
1/24/20,71.322197,71.510002,71.208504,71.320999
1/27/20,71.32,71.635002,71.32,71.324997
1/28/20,71.654999,71.654999,71.178001,71.440002
1/29/20,71.230103,71.425003,71.168503,71.2304
1/30/20,71.300003,71.711998,71.300003,71.300003
1/31/20,71.639999,71.639999,71.277496,71.639999
2/3/20,71.544998,71.699997,71.265503,71.496498
2/4/20,71.314102,71.514999,71.084999,71.314102
2/5/20,71.100403,71.279999,71.099899,71.099998
2/6/20,71.181,71.397499,71.121002,71.18
2/7/20,71.470001,71.570999,71.177498,71.470001
2/10/20,71.504997,71.508003,71.259003,71.515503
2/11/20,71.470001,71.470001,71.171501,71.279999
2/12/20,71.275497,71.474998,71.064003,71.275299
2/13/20,71.296501,71.491898,71.235802,71.296204
2/14/20,71.268501,71.596001,71.256401,71.268501
2/17/20,71.5177,71.5177,71.268997,71.514801
2/18/20,71.349297,71.613503,71.330002,71.349197
2/19/20,71.790001,71.815002,71.420998,71.574997
2/20/20,71.632896,71.919502,71.547401,71.827499
2/21/20,72.110001,72.110001,71.669998,72.110001
2/24/20,71.870003,72.355003,71.766998,71.886803
2/25/20,72.0467,72.294998,71.593002,72.0467
2/26/20,71.870003,72.137497,71.525597,71.870003
2/27/20,71.663399,71.952499,71.535004,71.663399
2/28/20,71.93,72.815002,71.627502,71.93
3/2/20,72.528999,73.387497,71.952499,72.150002
3/3/20,72.4235,73.599998,72.342499,72.824997
3/4/20,73.342003,74.037498,72.894997,73.342003
3/5/20,74.042503,74.080002,73.050003,74.042503
3/6/20,73.855103,74.440002,73.496498,73.855103
3/9/20,73.9953,75.0625,73.862503,73.9953
3/10/20,75.144997,75.144997,73.735497,74.405998
3/11/20,74.205002,74.404999,73.404503,74.205002
3/12/20,74.760002,75.379997,73.994499,74.760002
3/13/20,74.436096,75.434998,73.699501,75.300003
3/16/20,73.830002,75.122498,73.7575,73.903999
3/17/20,75.154999,75.154999,73.580002,75.154999
3/18/20,74.012398,74.989502,73.705002,74.012398
3/19/20,74.982002,75.571999,74.411003,74.982002
3/20/20,76.120003,76.230003,74.154999,75.159698
3/23/20,75.388496,77.754997,75.275002,75.622101
3/24/20,76.505997,77.75,75.012497,76.505997
3/25/20,77.260002,77.474998,75.849998,77.260002
3/26/20,77.095001,77.095001,74.769501,75.845497
3/27/20,74.725601,76.25,73.989998,74.725601
3/30/20,75.464996,76.379997,74.989998,75.464996
3/31/20,75.400101,76.482498,75.134499,75.400002
4/1/20,76.110001,77.377602,75.324997,75.324997
4/2/20,76.585503,77.57,76.010002,77.57
4/3/20,77.139999,77.504997,75.75,77.139999
4/6/20,76.230003,77.379997,75.904503,76.230003
4/7/20,75.964897,77.114998,75.251999,75.964897
4/8/20,76.660004,77.199997,75.572502,76.660004
4/9/20,75.959,77.199997,75.747498,75.959
4/10/20,76.650002,76.68,75.807503,76.650002
4/13/20,76.166496,76.952499,75.9925,76.166496
4/14/20,76.910004,76.962502,75.939499,76.910004
4/15/20,75.931,76.709503,75.921303,75.931
4/16/20,76.500099,77.510002,76.472,77.212502
4/17/20,76.858902,77.57,76.247002,77.57
4/20/20,76.559998,77.315002,76.311302,76.559998
4/21/20,76.5924,77.614998,76.4963,77.209999
4/22/20,77.684998,77.684998,76.384499,76.969398
4/23/20,76.995003,76.995003,75.672501,76.400002
4/24/20,76.422501,76.800003,75.839996,76.422501
4/27/20,76.2715,76.785004,75.887497,76.2715
4/28/20,76.654999,76.654999,75.790398,76.186302
4/29/20,76.464996,76.464996,75.412003,76.464996
4/30/20,75.610001,75.75,74.805,75.258499
5/1/20,75.720001,76.144997,75.072998,75.720001
5/4/20,75.591003,75.805,75.352501,75.600502
5/5/20,75.629997,76.115799,75.379997,75.849998
5/6/20,76.169998,76.169998,75.590302,76.169998
5/7/20,76.550003,76.550003,75.709503,76.151299
5/8/20,76.080002,76.080002,75.260002,76.080002
5/11/20,75.525002,76.260002,75.039497,75.525002
5/12/20,75.927597,76.309998,75.041298,76.309998
5/13/20,75.3685,75.68,75.043999,75.68
5/14/20,75.4272,75.730003,75.341003,75.426201
5/15/20,75.485001,76.185501,75.319298,75.485001
5/18/20,75.82,76.092003,75.612396,75.82
5/19/20,75.599998,76.040001,75.527496,75.600098
5/20/20,75.699997,76,75.462997,76
5/21/20,75.779999,75.919998,75.416,75.779999
5/22/20,75.625,76.209503,75.610001,75.625
5/25/20,75.985001,76.129501,75.7575,75.985001
5/26/20,75.873596,76.110001,75.404999,76.110001
5/27/20,75.489502,76,75.381302,75.82
5/28/20,75.885696,76.129997,75.634499,76.129997
5/29/20,75.959999,75.959999,75.4263,75.959999
6/1/20,75.513199,75.769997,75.235497,75.513199
6/2/20,75.730003,75.730003,74.982803,75.730003
6/3/20,75.275002,75.684998,74.914398,75.065804
6/4/20,75.327698,75.635002,75.281898,75.544998
6/5/20,75.4832,75.792503,75.309402,75.490898
6/8/20,75.5177,75.739998,75.388802,75.5177
6/9/20,75.399803,75.691002,75.391899,75.625
6/10/20,75.509697,75.7799,75.3769,75.509804
6/11/20,75.875,76.196999,75.5,75.875
6/12/20,76.389999,76.389999,75.767502,76.389999
6/15/20,75.956902,76.220001,75.894997,75.956802
6/16/20,76.097504,76.283798,75.745003,75.977997
6/17/20,76.403702,76.654999,76.094498,76.654999
6/18/20,76.289803,76.550003,76.001503,76.550003
6/19/20,76.483101,76.635002,76.105499,76.400398
6/22/20,76.257301,76.453499,75.738503,76.252098
6/23/20,76,76.119797,75.472,75.789803
6/24/20,75.839996,75.839996,75.466003,75.607803
6/25/20,75.970001,75.970001,75.519798,75.970001
6/26/20,75.542,75.745003,75.430496,75.539803
6/29/20,75.619797,75.6418,75.4319,75.619797
6/30/20,75.518799,75.699997,75.388496,75.699997
7/1/20,75.556999,75.75,75.474998,75.75
7/2/20,75.677498,75.677498,74.607498,75.454903
7/3/20,74.875,74.989998,74.544502,74.721001
7/6/20,74.679298,74.807999,74.430298,74.679298
7/7/20,74.607498,74.962997,74.540298,74.607597
7/8/20,75.125,75.125,74.8125,75.125
7/9/20,74.920998,75.1567,74.847801,74.939903
7/10/20,75.339996,75.355003,75.056702,75.339996
7/13/20,75.194298,75.434998,75.070503,75.158501
7/14/20,75.449997,75.510498,75.2118,75.449997
7/15/20,75.574997,75.574997,75.043297,75.574997
7/16/20,75.124901,75.349998,75.085999,75.124901
7/17/20,75.419998,75.419998,74.916,75.1745
7/20/20,74.8974,75.150002,74.747002,74.897301
7/21/20,74.989998,74.994003,74.507401,74.989998
7/22/20,74.769997,74.833099,74.4646,74.769997
7/23/20,74.82,74.925598,74.572304,74.82
7/24/20,75.044998,75.099998,74.6847,74.807297
7/27/20,74.725601,74.983498,74.513496,74.759804
7/28/20,75,75,74.648499,75
7/29/20,75.089996,75.089996,74.683998,75.089996
7/30/20,74.8312,75.019997,74.750504,74.8312
7/31/20,74.783798,74.989998,74.613503,74.989998
8/3/20,74.9179,75.298401,74.835999,74.917801
8/4/20,75.330002,75.364998,74.973,75.330002
8/5/20,75.25,75.25,74.771301,75.25
8/6/20,75.099998,75.099998,74.768997,74.882202
8/7/20,74.899803,75.1092,74.875999,74.899803
8/10/20,75.026901,75.246002,74.856003,75.024803
8/11/20,75.099998,75.099998,74.515999,75.099998
8/12/20,74.900002,74.924004,74.619797,74.900002
8/13/20,74.997498,74.997498,74.744003,74.772102
8/14/20,75.029999,75.029999,74.7285,75.029999
8/17/20,74.902802,75.080002,74.662399,74.902802
8/18/20,75,75,74.570297,75
8/19/20,74.794998,75.057503,74.575302,74.794998
8/20/20,75.18,75.199997,74.847198,74.966797
8/21/20,75.190002,75.190002,74.822998,74.999901
8/24/20,74.921799,74.921799,73.925301,74.921799
8/25/20,74.400002,74.639297,74.046997,74.400002
8/26/20,74.452499,74.452499,74.185997,74.452499
8/27/20,74.459999,74.459999,73.763901,74.240097
8/28/20,73.970001,73.970001,73.095802,73.774498
